rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/exploration_rate,rollout/ep_len_mean
0.5,26,0,3,2,0.8799999999999999,1.5
0.6666666666666666,33,0,5,3,0.7999999999999998,1.6666666666666667
0.5,32,0,6,4,0.7599999999999998,1.5
0.4,31,0,7,5,0.7199999999999998,1.4
0.3333333333333333,31,0,8,6,0.6800000000000002,1.3333333333333333
0.2857142857142857,32,0,9,7,0.6400000000000001,1.2857142857142858
0.25,32,0,10,8,0.6000000000000001,1.25
0.2222222222222222,32,0,11,9,0.56,1.2222222222222223
0.2,32,0,12,10,0.52,1.2
0.18181818181818182,32,0,13,11,0.48,1.1818181818181819
0.16666666666666666,32,0,14,12,0.43999999999999995,1.1666666666666667
0.15384615384615385,32,0,15,13,0.3999999999999999,1.1538461538461537
0.14285714285714285,33,0,16,14,0.3599999999999999,1.1428571428571428
0.13333333333333333,33,0,17,15,0.31999999999999984,1.1333333333333333
0.125,33,0,18,16,0.28000000000000025,1.125
0.11764705882352941,33,0,19,17,0.2400000000000002,1.1176470588235294
0.1111111111111111,33,0,20,18,0.20000000000000018,1.1111111111111112
0.10526315789473684,33,0,21,19,0.16000000000000014,1.105263157894737
0.1,33,0,22,20,0.1200000000000001,1.1
0.09523809523809523,32,0,23,21,0.08000000000000007,1.0952380952380953
0.09090909090909091,32,0,24,22,0.040000000000000036,1.0909090909090908
0.13043478260869565,33,0,26,23,0,1.1304347826086956
0.125,33,0,27,24,0,1.125
0.12,33,0,28,25,0,1.12
0.11538461538461539,33,0,29,26,0,1.1153846153846154
0.1111111111111111,33,0,30,27,0,1.1111111111111112
0.10714285714285714,33,0,31,28,0,1.1071428571428572
0.20689655172413793,35,0,34,29,0,1.1724137931034482
0.2,35,0,35,30,0,1.1666666666666667
0.1935483870967742,34,1,36,31,0,1.1612903225806452
0.1875,34,1,37,32,0,1.15625
0.18181818181818182,34,1,38,33,0,1.1515151515151516
0.17647058823529413,34,1,39,34,0,1.1470588235294117
0.2,35,1,41,35,0,1.1714285714285715
0.19444444444444445,35,1,42,36,0,1.1666666666666667
0.1891891891891892,35,1,43,37,0,1.162162162162162
0.21052631578947367,35,1,45,38,0,1.1842105263157894
0.28205128205128205,36,1,48,39,0,1.2307692307692308
0.275,36,1,49,40,0,1.225
0.2682926829268293,36,1,50,41,0,1.2195121951219512
0.2619047619047619,36,1,51,42,0,1.2142857142857142
0.2558139534883721,36,1,52,43,0,1.2093023255813953
0.25,35,1,53,44,0,1.2045454545454546
0.24444444444444444,35,1,54,45,0,1.2
0.2391304347826087,35,1,55,46,0,1.1956521739130435
0.23404255319148937,35,1,56,47,0,1.1914893617021276
0.22916666666666666,34,1,57,48,0,1.1875
0.22448979591836735,33,1,58,49,0,1.183673469387755
0.22,33,1,59,50,0,1.18
0.21568627450980393,33,1,60,51,0,1.1764705882352942
0.21153846153846154,33,1,61,52,0,1.1730769230769231
0.20754716981132076,32,1,62,53,0,1.169811320754717
0.2037037037037037,32,1,63,54,0,1.1666666666666667
0.2,32,1,64,55,0,1.1636363636363636
0.25,33,2,67,56,0,1.1964285714285714
0.2631578947368421,33,2,69,57,0,1.2105263157894737
0.25862068965517243,33,2,70,58,0,1.206896551724138
0.2542372881355932,33,2,71,59,0,1.2033898305084745
0.3,34,2,74,60,0,1.2333333333333334
0.29508196721311475,34,2,75,61,0,1.2295081967213115
0.2903225806451613,34,2,76,62,0,1.2258064516129032
0.2857142857142857,34,2,77,63,0,1.2222222222222223
0.28125,33,2,78,64,0,1.21875
0.27692307692307694,33,2,79,65,0,1.2153846153846153
0.2727272727272727,33,2,80,66,0,1.2121212121212122
0.26865671641791045,33,2,81,67,0,1.208955223880597
0.2647058823529412,33,2,82,68,0,1.2058823529411764
0.2608695652173913,33,2,83,69,0,1.2028985507246377
0.2571428571428571,33,2,84,70,0,1.2
0.2535211267605634,33,2,85,71,0,1.1971830985915493
0.25,32,2,86,72,0,1.1944444444444444
0.2465753424657534,32,2,87,73,0,1.1917808219178083
0.24324324324324326,32,2,88,74,0,1.1891891891891893
0.24,32,2,89,75,0,1.1866666666666668
0.23684210526315788,32,2,90,76,0,1.1842105263157894
0.23376623376623376,32,2,91,77,0,1.1818181818181819
0.23076923076923078,32,2,92,78,0,1.1794871794871795
0.22784810126582278,32,2,93,79,0,1.1772151898734178
0.225,31,2,94,80,0,1.175
0.2222222222222222,31,2,95,81,0,1.1728395061728396
0.21951219512195122,31,3,96,82,0,1.170731707317073
0.21686746987951808,31,3,97,83,0,1.1686746987951808
0.21428571428571427,31,3,98,84,0,1.1666666666666667
0.21176470588235294,31,3,99,85,0,1.1647058823529413
0.0,16,0,1,1,0.96,1.0
0.0,21,0,2,2,0.9199999999999999,1.0
0.0,25,0,3,3,0.8799999999999999,1.0
0.0,26,0,4,4,0.8399999999999999,1.0
0.0,26,0,5,5,0.7999999999999998,1.0
0.0,26,0,6,6,0.7599999999999998,1.0
0.0,27,0,7,7,0.7199999999999998,1.0
0.0,27,0,8,8,0.6800000000000002,1.0
0.0,27,0,9,9,0.6400000000000001,1.0
0.0,27,0,10,10,0.6000000000000001,1.0
0.0,27,0,11,11,0.56,1.0
0.0,27,0,12,12,0.52,1.0
0.07692307692307693,29,0,14,13,0.43999999999999995,1.0769230769230769
0.07142857142857142,29,0,15,14,0.3999999999999999,1.0714285714285714
0.06666666666666667,28,0,16,15,0.3599999999999999,1.0666666666666667
0.0625,28,0,17,16,0.31999999999999984,1.0625
0.11764705882352941,30,0,19,17,0.2400000000000002,1.1176470588235294
0.16666666666666666,31,0,21,18,0.16000000000000014,1.1666666666666667
0.15789473684210525,31,0,22,19,0.1200000000000001,1.1578947368421053
0.15,31,0,23,20,0.08000000000000007,1.15
0.14285714285714285,31,0,24,21,0.040000000000000036,1.1428571428571428
0.13636363636363635,32,0,25,22,0.0,1.1363636363636365
0.13043478260869565,32,0,26,23,0,1.1304347826086956
0.25,34,0,29,24,0,1.2083333333333333
0.24,34,0,30,25,0,1.2
0.23076923076923078,34,0,31,26,0,1.1923076923076923
0.2222222222222222,34,0,32,27,0,1.1851851851851851
0.21428571428571427,34,0,33,28,0,1.1785714285714286
0.20689655172413793,34,0,34,29,0,1.1724137931034482
0.2,34,1,35,30,0,1.1666666666666667
0.1935483870967742,34,1,36,31,0,1.1612903225806452
0.1875,34,1,37,32,0,1.15625
0.18181818181818182,34,1,38,33,0,1.1515151515151516
0.17647058823529413,34,1,39,34,0,1.1470588235294117
0.34285714285714286,36,1,43,35,0,1.2285714285714286
0.3333333333333333,35,1,44,36,0,1.2222222222222223
0.32432432432432434,34,1,45,37,0,1.2162162162162162
0.34210526315789475,35,1,47,38,0,1.236842105263158
0.358974358974359,36,1,49,39,0,1.2564102564102564
0.35,35,1,50,40,0,1.25
0.36585365853658536,36,1,52,41,0,1.2682926829268293
0.35714285714285715,36,1,53,42,0,1.2619047619047619
0.37209302325581395,36,1,55,43,0,1.2790697674418605
0.36363636363636365,36,1,56,44,0,1.2727272727272727
0.35555555555555557,36,1,57,45,0,1.2666666666666666
0.34782608695652173,36,1,58,46,0,1.2608695652173914
0.3404255319148936,36,1,59,47,0,1.2553191489361701
0.3333333333333333,35,1,60,48,0,1.25
0.32653061224489793,35,1,61,49,0,1.2448979591836735
0.32,35,1,62,50,0,1.24
0.3333333333333333,35,1,64,51,0,1.2549019607843137
0.3269230769230769,35,1,65,52,0,1.25
0.32075471698113206,35,1,66,53,0,1.2452830188679245
0.3148148148148148,35,1,67,54,0,1.2407407407407407
0.3090909090909091,35,1,68,55,0,1.2363636363636363
0.30357142857142855,35,1,69,56,0,1.2321428571428572
0.2982456140350877,35,1,70,57,0,1.2280701754385965
0.29310344827586204,35,2,71,58,0,1.2241379310344827
0.288135593220339,35,2,72,59,0,1.2203389830508475
0.2833333333333333,35,2,73,60,0,1.2166666666666666
0.2786885245901639,35,2,74,61,0,1.2131147540983607
0.2903225806451613,35,2,76,62,0,1.2258064516129032
0.2857142857142857,35,2,77,63,0,1.2222222222222223
0.296875,35,2,79,64,0,1.234375
0.2923076923076923,35,2,80,65,0,1.2307692307692308
0.2878787878787879,35,2,81,66,0,1.2272727272727273
0.2835820895522388,35,2,82,67,0,1.2238805970149254
0.29411764705882354,35,2,84,68,0,1.2352941176470589
0.2898550724637681,35,2,85,69,0,1.2318840579710144
0.2857142857142857,35,2,86,70,0,1.2285714285714286
0.28169014084507044,35,2,87,71,0,1.2253521126760563
0.2777777777777778,35,2,88,72,0,1.2222222222222223
0.273972602739726,35,2,89,73,0,1.2191780821917808
0.2702702702702703,35,2,90,74,0,1.2162162162162162
0.26666666666666666,34,2,91,75,0,1.2133333333333334
0.2631578947368421,34,2,92,76,0,1.2105263157894737
0.2597402597402597,34,2,93,77,0,1.2077922077922079
0.2564102564102564,34,2,94,78,0,1.205128205128205
0.25316455696202533,34,2,95,79,0,1.2025316455696202
0.2875,35,2,98,80,0,1.225
0.2839506172839506,35,2,99,81,0,1.2222222222222223
0.2804878048780488,35,2,100,82,0,1.2195121951219512
0.0,14,0,1,1,0.96,1.0
0.0,18,0,2,2,0.9199999999999999,1.0
0.0,20,0,3,3,0.8799999999999999,1.0
0.0,22,0,4,4,0.8399999999999999,1.0
0.0,23,0,5,5,0.7999999999999998,1.0
0.0,24,0,6,6,0.7599999999999998,1.0
0.0,25,0,7,7,0.7199999999999998,1.0
0.0,25,0,8,8,0.6800000000000002,1.0
0.1111111111111111,28,0,10,9,0.6000000000000001,1.1111111111111112
0.2,31,0,12,10,0.52,1.2
0.18181818181818182,31,0,13,11,0.48,1.1818181818181819
0.16666666666666666,31,0,14,12,0.43999999999999995,1.1666666666666667
0.15384615384615385,30,0,15,13,0.3999999999999999,1.1538461538461537
0.14285714285714285,30,0,16,14,0.3599999999999999,1.1428571428571428
0.13333333333333333,30,0,17,15,0.31999999999999984,1.1333333333333333
0.125,30,0,18,16,0.28000000000000025,1.125
0.29411764705882354,33,0,21,17,0.16000000000000014,1.2352941176470589
0.2777777777777778,33,0,22,18,0.1200000000000001,1.2222222222222223
0.2631578947368421,32,0,23,19,0.08000000000000007,1.2105263157894737
0.25,32,0,24,20,0.040000000000000036,1.2
0.23809523809523808,32,0,25,21,0.0,1.1904761904761905
0.2727272727272727,32,0,27,22,0,1.2272727272727273
0.2608695652173913,32,0,28,23,0,1.2173913043478262
0.375,34,0,31,24,0,1.2916666666666667
0.36,34,0,32,25,0,1.28
0.34615384615384615,34,0,33,26,0,1.2692307692307692
0.37037037037037035,35,0,35,27,0,1.2962962962962963
0.35714285714285715,35,1,36,28,0,1.2857142857142858
0.3448275862068966,35,1,37,29,0,1.2758620689655173
0.3333333333333333,35,1,38,30,0,1.2666666666666666
0.3225806451612903,35,1,39,31,0,1.2580645161290323
0.3125,35,1,40,32,0,1.25
0.30303030303030304,35,1,41,33,0,1.2424242424242424
0.29411764705882354,35,1,42,34,0,1.2352941176470589
0.2857142857142857,34,1,43,35,0,1.2285714285714286
0.2777777777777778,34,1,44,36,0,1.2222222222222223
0.2972972972972973,35,1,46,37,0,1.2432432432432432
0.2894736842105263,35,1,47,38,0,1.236842105263158
0.28205128205128205,34,1,48,39,0,1.2307692307692308
0.275,34,1,49,40,0,1.225
0.2682926829268293,34,1,50,41,0,1.2195121951219512
0.2619047619047619,34,1,51,42,0,1.2142857142857142
0.2558139534883721,34,1,52,43,0,1.2093023255813953
0.25,34,1,53,44,0,1.2045454545454546
0.24444444444444444,35,1,54,45,0,1.2
